sim_idx,converged,gen_beta,matlab_beta,gen_lam,matlab_lam,gen_gamma,matlab_gamma,gen_alpha,matlab_alpha,gen_kappa,matlab_kappa,our_beta,our_lam,our_gamma,our_alpha,our_kappa
120,True,2.28130113046371,2.4160635450143837,0.00010005706648534229,1.0729203610124366e-09,0.38649278981376356,0.20815084249573385,0.7848161627781975,0.868142822240923,2.0,2.0,2.3356766166649545,0.1,0.21678996045836632,0.8535040169050737,2
121,True,2.4285513526857914,2.2622288924930687,0.032558278544515186,0.1498615783677499,0.772102446317827,0.47510230154195543,0.6902158027651776,0.7119468940102094,2.0,2.0,2.2622275952374933,0.14986215142975828,0.4751026903744514,0.7119484374122923,2
122,True,2.789310242608484,3.097769812174158,0.2708395150860222,0.07175211744788726,0.551276833866534,0.3569127910481854,0.5452630378143277,0.55985723455463,2.0,2.0,3.080253000950244,0.1,0.3633679195571534,0.5530931235739496,2
123,True,1.5623837507158196,1.5796467477736351,1.6018452951311202,1.174861848596186,0.34683841741467186,0.5311302996350733,0.671422206175452,0.6363659738592226,2.0,2.0,1.579646348564322,1.1748625095326581,0.5311304514569276,0.6363661993987798,2
124,True,2.61190714750525,2.894119568467685,0.5226807431924815,0.292878248504038,0.33199023745189393,0.21312176315326906,0.407922838728857,0.4240929430683178,2.0,2.0,2.8941122483160573,0.2928805479855266,0.21312200243113874,0.42409368977503076,2
125,True,2.193631316576235,2.50702038587745,0.2998752845110067,0.18770383528538204,1.3021972037465228,0.6024374650339893,1.0,0.8716742212297877,2.0,2.0,2.50701986783253,0.18770393954095882,0.6024375000481506,0.8716744974004255,2
126,True,1.862301415755368,1.9525245418381303,0.36014635334726514,0.13445234720779797,9.945437888821662,7.8567448427157185,0.8946050768881171,0.9062514647000998,2.0,2.0,1.9525207284887485,0.13445488719315118,7.8566961678372715,0.9062549225148329,2
127,True,2.228344934603521,2.3008918515690717,0.11223098549379333,0.2200177867040593,1.5421471439662626,1.1709758564747172,0.6252140720962707,0.6695097440117022,2.0,2.0,2.300891700821879,0.2200179297038446,1.1709765469496853,0.6695096110201044,2
128,True,1.6557426264555888,1.6206575988276732,0.4694774037252855,0.557813118876652,5.387250997373907,6.694377341541462,0.9999999637768289,0.9999999978493415,2.0,2.0,1.6207065567334737,0.5578178169625891,6.694889539960684,0.9999,2
129,True,1.5574192410703105,1.5433716224147769,1.6452916927868564,1.8059106783992123,6.363789351114196,4.115391346015849,0.7727176245027886,0.9408275923726479,2.0,2.0,1.5433717250065209,1.80591046524998,4.11540741087534,0.9408272997160785,2
130,True,1.9845677993137059,1.6926770323377143,0.5895574273601691,1.1605011306757138,0.508113755906514,0.4747651183087789,0.8483411573215603,0.9999999776233158,2.0,2.0,1.692743882774586,1.160475113650954,0.47475465581505766,0.9999,2
131,True,2.0950639983212387,2.1773002276245856,0.45006534742745974,0.6772098874720167,10.0,9.999995607483852,0.987887930201075,0.9185862083352786,2.0,2.0,2.2403850215511993,0.7251591998344694,20.0,0.8463296673157887,2
132,True,2.1805068243759984,1.855324822765475,0.18878085170100797,0.25691230062552706,2.0660357540682925,2.268817410668741,0.7516309592532572,0.8661191208076958,2.0,2.0,1.855319667189583,0.25691303692328654,2.268866129620262,0.8661247013722284,2
133,True,1.7453633947212503,1.6684043783965656,0.7836414846542024,1.0370033144234605,0.7820769317272933,0.37061222809960104,0.8911770359526666,0.9999999947701219,2.0,2.0,1.6684563591940906,1.0370223298018546,0.37060109123611207,0.9999,2
134,True,1.8095468133120858,2.082349309526738,0.3302396588436205,0.10760940169111381,3.7934322469476465,9.208776611018404,0.9271724493971911,0.9999999999996034,2.0,2.0,2.082403308347805,0.1076050769160103,9.209237647246596,0.9999,2
135,True,2.2678069762638917,2.1539808784034453,1.5937869421083669e-10,0.0312439646630202,0.8308926077809122,0.4397388159895095,0.6575345700562487,0.8065833031727465,2.0,2.0,2.1148033210549375,0.1,0.43574586343696414,0.8026500934490987,2
136,True,2.03273718324975,2.0935721967062406,0.1649710297344302,0.11877604696292779,10.0,10.0,1.0,1.0,2.0,2.0,2.088183680488706,0.13508036749627134,20.0,0.9999,2
137,True,2.8073159182617187,2.8759060578969367,0.42108246880643696,0.7153041914175101,0.08792188011313996,0.11186235431076008,0.5325208464201626,0.465554000717203,2.0,2.0,2.875905965747892,0.7153041078718113,0.11186235801715409,0.4655540673640018,2
138,True,2.2333774745769817,2.2608282273501303,0.3334787183724096,0.5275210045281533,0.367313049053393,0.36893031071624194,0.7843537831342783,0.6399269876844129,2.0,2.0,2.2608276867640935,0.5275207687885974,0.3689298417335407,0.6399276827833216,2
139,True,3.273030688470549,3.029773553589219,0.07652501442371583,0.07780778890944037,0.0948195576523153,0.11146024726312292,0.6765958602311154,0.8228698173321194,2.0,2.0,3.003999571208807,0.1,0.11278776345763397,0.820926381738964,2
140,True,2.0399878872291035,1.895064544877294,0.10571695397373797,0.4888877614279915,7.0812727311748125,7.591524196832875,0.9999947584820662,1.0,2.0,2.0,1.895121361288375,0.48887405727426386,7.5913358840086245,0.9999,2
141,True,1.6161620133609094,1.716694018400689,0.32832143959058263,0.17404725761067222,6.181985224786908,3.406912076984683,0.9468662333884789,0.9999999830023133,2.0,2.0,1.716738771255827,0.17404220765453016,3.4073236050155784,0.9999,2
142,True,2.6981410259460676,2.9020930579581177,0.04613633701093196,4.696543990819804e-09,0.9583322590535639,0.976715604045733,1.0,1.0,2.0,2.0,2.7897414704156267,0.1,1.0220215157302994,0.9999,2
143,True,1.9973840228310742,2.138000971603822,0.1983163807101701,0.341819825727047,0.5872623799670575,0.8262129698199361,1.0,0.7814418950060745,2.0,2.0,2.1380000555610033,0.34181998626243437,0.8262164734805221,0.7814419080567224,2
144,True,2.2417255383238635,2.2350036747566224,3.43067113563108e-07,0.24395900591994252,1.590834332715171,1.701575851023578,1.0,1.0,3.0,3.0,2.235054253478818,0.24395461117224038,1.7016955037895851,0.9999,3
145,True,2.4001255245666564,2.2579981532443316,0.1924248722782424,0.21078630019744776,6.860803118671561,7.178263658164191,0.6792028267724519,0.7767039195694925,3.0,3.0,2.2555158731650518,0.2017576988654012,9.209445760578655,0.7875970190794453,4
146,True,2.3282585227037416,1.8936885532783208,0.36351546807090473,0.4829488686846508,0.23777680712129468,0.06832044031897873,0.3981119794066902,0.9999999351363127,3.0,3.0,2.8838036787493904,0.5627910629413221,0.6009351844112552,0.11998062897615572,4
147,True,2.829345035159296,3.058428261527236,0.3803371069313866,0.4540115772798732,0.31964491467257,0.23725207448006846,0.7052948321026663,0.6011761515083399,3.0,3.0,3.058421073169462,0.45401240608430943,0.23725560181370486,0.6011768202632035,3
148,True,2.687187094467849,2.7685292740687504,0.00010000526225616115,2.0198653216816394e-10,0.3125951575803118,0.4390066376522734,0.795505045598826,0.817184488413554,3.0,3.0,2.636637709891599,0.1,0.4623191589696722,0.824677937724494,3
149,True,2.170234578801411,2.1421111071759182,0.018523047480433912,1.940289328811391e-10,1.0016749722118967,1.5702783406075038,1.0,1.0,3.0,3.0,2.0833418093027856,0.1,1.6236583840432894,0.9999,4
150,True,2.147112405988379,2.2098022216315045,4.3351377949914345e-10,1.1080249138628156e-11,1.1479126604699599,1.6079091299481987,0.6833218243783534,0.4990679845266687,3.0,3.0,2.160495173253107,0.1,1.977161091099701,0.4437024125365024,3
151,True,2.1558699380887756,2.228424536926929,0.10203835150002982,0.08199965228425737,1.9289133507545393,1.3085861159162766,1.0,1.0,3.0,3.0,2.215283698051033,0.1,1.3112633904908564,0.9999,3
